cycle,t_s,dt_ms,left_wall,right_wall,blue_px,blue_state,orange_px,orange_state,direction,quadrant,traffic_light,target_x,target_y,target_area,target_type,parking_area,purple_left,purple_right,Err,dir_raw,dir_cmd
1,0.038,0.0,0.257,0.0838,0,0,0,0,0,0,-1,160,0,75,-1,13021,8698.0,4225.0,0,0.0,0.0
2,0.091,53.48,0.2664,0.0969,0,0,0,0,0,0,-1,160,0,75,-1,13037,8740.0,4049.0,0,0.0,0.0
3,0.14,48.6,0.2601,0.0959,0,0,0,0,0,0,-1,160,0,75,-1,13128,8845.0,4095.0,0,0.0,0.0
4,0.19,50.59,0.2494,0.0972,0,0,0,0,0,0,-1,160,0,75,-1,12780,8758.0,3899.0,0,0.0,0.0
5,0.241,50.98,0.2572,0.0984,0,0,0,0,0,0,-1,245,10,91,1,12960,8856.0,3922.0,0,0.0,0.0
6,0.291,49.73,0.253,0.0965,0,0,0,0,0,0,-1,245,9,91,1,13087,8963.0,3953.0,0,0.0,0.0
7,0.336,45.37,0.2554,0.0972,0,0,0,0,0,0,-1,246,9,91,1,12974,8884.0,3909.0,0,0.0,0.0
8,0.384,47.75,0.2524,0.0999,0,0,0,0,0,0,-1,246,10,87,1,12879,8852.0,3913.0,0,0.0,0.0
9,2.003,1619.04,0.5522,0.1054,0,0,0,0,1,0,-1,308,20,171,1,1000,0.0,0.0,0,16.57,5.8
10,2.068,64.82,0.6047,0.1248,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,0.0,0,18.14,10.12
11,2.113,45.48,0.6593,0.1512,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,0.0,0,19.78,13.5
12,2.156,42.69,0.6609,0.1489,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,0.0,0,19.83,15.71
13,2.206,49.45,0.6634,0.1495,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,0.0,0,19.9,17.18
14,2.249,43.78,0.6618,0.1485,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,0.0,0,19.85,18.12
15,2.292,42.2,0.6548,0.1305,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,0.0,0,19.65,18.65
16,2.339,47.43,0.6338,0.1239,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,0.0,0,19.01,18.78
17,2.381,42.25,0.6241,0.1108,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,0.0,0,18.72,18.76
18,2.436,55.06,0.6096,0.1142,0,0,0,0,1,0,-1,315,23,134,1,1000,0.0,0.0,0,18.29,18.59
19,2.48,43.42,0.5885,0.1069,0,0,0,0,1,0,-1,310,22,223,1,1000,0.0,0.0,0,17.66,18.27
20,2.525,45.35,0.5475,0.1143,0,0,0,0,1,0,-1,301,22,261,1,1000,0.0,7.0,0,16.43,17.62
21,2.57,44.52,0.509,0.115,0,0,0,0,1,0,-1,294,22,291,1,1000,0.0,0.0,0,15.27,16.8
22,2.616,45.98,0.4816,0.1108,0,0,0,0,1,0,-1,289,21,311,1,1000,0.0,0.0,0,14.45,15.98
23,2.661,45.7,0.4398,0.1177,0,0,0,0,1,0,-1,282,21,351,1,1000,0.0,3.0,0,13.2,15.0
24,2.712,50.4,0.3907,0.1154,0,0,0,0,1,0,-1,273,20,390,1,1000,0.0,0.0,0,11.72,13.85
25,2.756,44.83,0.3501,0.0998,0,0,0,0,1,0,-1,160,0,75,-1,1000,0.0,1.0,0,10.5,12.68
26,2.8,43.06,0.317,0.0881,0,0,0,0,1,0,-1,257,18,425,1,1000,0.0,0.0,0,9.51,11.57
27,2.852,52.83,0.2909,0.0889,0,0,0,0,1,0,-1,249,18,474,1,1000,0.0,2.0,0,0.0,7.52
28,2.894,41.62,0.2622,0.087,0,0,0,0,1,0,1,240,17,501,1,1000,0.0,0.0,0,0.0,4.89
29,2.941,46.75,0.2337,0.0948,0,0,0,0,1,0,1,231,17,536,1,1000,0.0,1.0,0,0.0,3.18
30,2.988,47.19,0.2179,0.1027,0,0,0,0,1,0,1,222,18,590,1,1000,0.0,0.0,0,0.0,2.07
31,3.032,44.18,0.2092,0.1004,0,0,0,0,1,0,1,218,18,636,1,1000,0.0,1.0,-502.0,-25.1,-7.44
32,3.079,46.62,0.1933,0.0974,0,0,0,0,1,0,1,214,18,693,1,1000,0.0,0.0,-506.0,-25.3,-13.69
33,3.127,48.1,0.1789,0.1063,0,0,0,0,1,0,1,208,18,748,1,1000,0.0,3.0,-512.0,-25.6,-17.86
34,3.171,44.52,0.1779,0.1002,0,0,0,0,1,0,1,204,18,812,1,1000,0.0,3.0,-516.0,-25.8,-20.64
35,3.216,45.1,0.1835,0.1052,0,0,0,0,1,0,1,210,20,866,1,1000,0.0,0.0,-510.0,-25.5,-22.34
36,3.26,43.98,0.1827,0.1,0,0,0,0,1,0,1,216,21,961,1,1000,0.0,5.0,-504.0,-25.2,-23.34
37,3.306,45.32,0.1834,0.0958,0,0,0,0,1,0,1,222,21,994,1,1000,0.0,0.0,0,0.0,-15.17
38,3.353,47.12,0.204,0.0971,0,0,0,0,1,0,1,236,24,1033,1,1000,0.0,2.0,0,0.0,-9.86
39,3.397,43.76,0.2151,0.0863,0,0,0,0,1,0,1,250,25,1087,1,1000,0.0,0.0,0,0.0,-6.41
40,3.442,45.15,0.2359,0.0909,0,0,0,0,1,0,1,266,28,1135,1,1000,0.0,1.0,0,0.0,-4.17
41,3.485,43.02,0.2498,0.0965,0,0,0,0,1,0,1,277,30,1213,1,1000,0.0,2.0,0,0.0,-2.71
42,3.536,51.11,0.2505,0.1005,0,0,0,0,1,0,1,283,32,1256,1,1000,0.0,3.0,0,0.0,-1.76
43,3.585,49.15,0.2616,0.1091,0,0,0,0,1,0,1,296,36,1380,1,1000,0.0,4.0,0,0.0,-1.14
44,3.63,45.33,0.2623,0.1169,0,0,220,0,1,0,1,302,39,1385,1,1000,0.0,10.0,0,0.0,-0.74
45,3.676,45.95,0.2662,0.1171,0,0,247,0,1,0,1,306,42,1151,1,1000,0.0,7.0,0,0.0,-0.48
46,3.722,45.43,0.262,0.1124,0,0,437,0,1,0,1,309,45,909,1,1000,0.0,12.0,0,0.0,-0.31
47,3.772,50.45,0.2645,0.1194,0,0,497,0,1,0,1,312,53,537,1,1000,0.0,2.0,0,0.0,-0.2
48,3.815,42.57,0.2578,0.117,0,0,586,0,1,0,1,314,63,241,1,1000,0.0,16.0,0,0.0,-0.13
49,3.864,48.87,0.2552,0.1195,0,0,629,0,1,0,1,160,0,75,-1,1000,0.0,17.0,0,0.0,-0.09
50,3.903,39.58,0.2539,0.1252,0,0,689,0,1,0,1,160,0,75,-1,1000,0.0,14.0,0,0.0,-0.06
51,3.95,47.07,0.2493,0.1207,0,0,817,0,1,0,1,160,0,75,-1,1000,1.0,9.0,0,0.0,-0.04
52,3.992,41.91,0.2481,0.1255,0,0,895,1,1,0,1,160,0,75,-1,1000,0.0,18.0,0,0.0,-0.02
53,4.038,45.49,0.2425,0.1169,0,0,937,1,1,0,1,160,0,75,-1,1000,0.0,21.0,0,0.0,-0.02
54,4.08,41.91,0.2437,0.1167,0,0,1011,1,1,0,1,160,0,75,-1,1000,0.0,4.0,0,0.0,-0.01
55,4.13,50.49,0.241,0.1239,0,0,1155,1,1,0,1,160,0,75,-1,1000,1.0,18.0,0,0.0,-0.01
56,4.171,40.83,0.2407,0.1251,0,0,1272,1,1,0,1,160,0,75,-1,1000,0.0,16.0,0,0.0,-0.0
57,4.213,42.12,0.2372,0.1209,0,0,2061,1,1,0,1,160,0,75,-1,1000,0.0,15.0,0,0.0,-0.0
58,4.262,48.88,0.2405,0.1248,0,0,1608,1,1,0,1,160,0,75,-1,1000,0.0,14.0,0,0.0,-0.0
59,4.301,39.34,0.2423,0.1351,0,0,1748,1,1,0,1,160,0,75,-1,1000,0.0,11.0,0,0.0,-0.0
60,4.344,42.57,0.2389,0.1344,0,0,2009,1,1,0,1,160,0,75,-1,1000,0.0,20.0,0,0.0,-0.0
61,4.39,46.32,0.2371,0.129,0,0,2322,1,1,0,1,160,0,75,-1,1000,0.0,18.0,0,0.0,-0.0
62,4.435,44.6,0.2367,0.1326,0,0,2516,1,1,0,1,160,0,75,-1,1000,2.0,20.0,0,0.0,-0.0
63,4.48,45.18,0.2341,0.1295,0,0,2966,1,1,0,1,160,0,75,-1,1000,0.0,26.0,0,0.0,-0.0
64,4.52,40.24,0.234,0.1355,0,0,3503,1,1,0,1,160,0,75,-1,1000,2.0,9.0,0,0.0,-0.0
65,4.565,44.95,0.2427,0.1392,0,0,3879,1,1,0,1,160,0,75,-1,1000,1.0,6.0,0,0.0,-0.0
66,4.611,45.98,0.2347,0.1364,0,0,4405,1,1,0,1,160,0,75,-1,1000,0.0,12.0,0,0.0,-0.0
67,4.657,45.61,0.2361,0.1437,0,0,2667,1,1,0,1,160,0,75,-1,1000,0.0,13.0,0,0.0,-0.0
68,4.706,49.05,0.2393,0.1437,0,0,1813,1,1,0,1,160,0,75,-1,1000,3.0,0.0,0,0.0,-0.0
69,4.972,266.03,0.2414,0.1537,0,0,0,2,1,1,1,160,0,75,-1,1000,1.0,0.0,0,0.0,-0.0
70,5.02,48.41,0.2554,0.12,0,0,0,0,1,1,1,293,23,403,0,1000,0.0,53.0,323,16.15,5.25
71,5.069,48.72,0.245,0.1092,0,0,0,0,1,1,1,284,22,403,0,1000,0.0,27.0,314,15.7,8.66
72,5.113,44.28,0.2607,0.109,0,0,0,0,1,1,1,160,0,75,-1,1000,0.0,68.0,0,0.0,5.63
73,5.168,54.99,0.262,0.1034,0,0,0,0,1,1,1,266,20,432,0,1000,0.0,60.0,296,14.8,8.84
74,5.211,42.97,0.2576,0.0985,360,0,0,0,1,1,1,261,20,454,0,1000,0.0,82.0,291,14.55,10.84
75,5.253,41.51,0.2512,0.0865,0,0,0,0,1,1,1,258,20,489,0,1000,0.0,90.0,288,14.4,12.08
76,5.299,46.75,0.252,0.0724,557,0,0,0,1,1,0,255,20,535,0,1000,0.0,46.0,285,14.25,12.84
77,5.346,46.48,0.2592,0.0727,505,0,0,0,1,1,0,250,21,551,0,1000,0.0,70.0,280,14.0,13.25
78,5.395,49.38,0.2585,0.0656,614,0,0,0,1,1,0,246,21,601,0,1000,0.0,55.0,276,13.8,13.44
79,5.439,43.52,0.2498,0.0576,626,0,0,0,1,1,0,241,21,655,0,1000,0.0,64.0,271,13.55,13.48
80,5.485,46.0,0.2396,0.0485,789,1,0,0,1,1,0,237,21,698,0,1000,0.0,67.0,267,13.35,13.43
81,5.532,46.68,0.2351,0.0453,929,1,0,0,1,1,0,230,21,750,0,1000,0.0,60.0,260,13.0,13.28
82,5.582,50.96,0.2293,0.0527,937,1,1256,1,1,1,0,225,22,811,0,1000,0.0,58.0,255,12.75,13.1
83,5.629,46.81,0.207,0.0619,1182,1,0,0,1,1,0,216,22,964,0,1000,0.0,40.0,246,12.3,12.82
84,5.678,48.77,0.1915,0.0432,647,2,0,0,1,1,0,209,23,1080,0,1000,0.0,28.0,239,11.95,12.51
85,5.724,45.63,0.1762,0.062,0,0,0,0,1,1,0,200,24,1227,0,1000,0.0,34.0,230,11.5,12.16
86,5.771,46.85,0.1836,0.0519,0,0,0,0,1,1,0,193,26,1355,0,1000,0.0,76.0,223,11.15,11.81
87,5.814,43.71,0.1748,0.066,0,0,0,0,1,1,0,184,27,1537,0,1000,0.0,39.0,214,10.7,11.42
88,5.858,43.91,0.1692,0.0825,0,0,0,0,1,1,0,174,28,1770,0,1000,2.0,61.0,204,10.2,10.99
89,5.905,46.45,0.1676,0.0923,0,0,0,0,1,1,0,165,30,2040,0,1000,6.0,62.0,195,9.75,10.56
