cycle,t_s,dt_ms,left_wall,right_wall,blue_px,blue_state,orange_px,orange_state,direction,quadrant,dir_raw,dir_clamped,dir_servo
1,0.017,0.0,0.212,0.1902,3,0,86,0,0,0,0.0,0.0,0.0
2,0.057,39.1,0.2351,0.2046,6,0,103,0,0,0,0.0,0.0,0.0
3,0.104,47.47,0.2307,0.2055,11,0,85,0,0,0,0.0,0.0,0.0
4,0.142,37.98,0.2455,0.2284,8,0,101,0,0,0,0.0,0.0,0.0
5,0.178,36.38,0.2266,0.2028,11,0,126,0,0,0,0.0,0.0,0.0
6,0.221,42.78,0.2176,0.2174,19,0,67,0,0,0,0.0,0.0,0.0
7,0.271,49.87,0.2308,0.2229,4,0,89,0,0,0,0.0,0.0,0.0
8,0.311,40.39,0.2278,0.2166,9,0,82,0,0,0,0.0,0.0,0.0
9,0.349,38.1,0.2069,0.2203,11,0,86,0,0,0,0.0,0.0,0.0
10,0.392,42.88,0.2129,0.228,10,0,77,0,0,0,0.0,0.0,0.0
11,0.438,45.74,0.2002,0.2209,7,0,77,0,0,0,0.0,0.0,0.0
12,0.483,44.82,0.199,0.2225,7,0,54,0,0,0,0.0,0.0,0.0
13,0.527,43.77,0.1832,0.2281,13,0,70,0,0,0,0.0,0.0,0.0
14,0.565,38.82,0.2008,0.2563,9,0,70,0,0,0,0.0,0.0,0.0
15,0.618,52.24,0.185,0.2552,7,0,58,0,0,0,0.0,0.0,0.0
16,0.664,45.89,0.1841,0.2514,15,0,98,0,0,0,0.0,0.0,0.0
17,0.705,41.82,0.1851,0.2697,6,0,68,0,0,0,0.0,0.0,0.0
18,0.752,46.42,0.1698,0.2559,7,0,61,0,0,0,0.0,0.0,0.0
19,0.798,45.84,0.1919,0.2627,4,0,55,0,0,0,0.0,0.0,0.0
20,0.841,43.79,0.1485,0.2698,13,0,94,0,0,0,0.0,0.0,0.0
21,0.896,54.94,0.1542,0.2904,8,0,39,0,0,0,0.0,0.0,0.0
22,0.956,59.92,0.1533,0.313,13,0,38,0,0,0,0.0,0.0,0.0
23,0.991,35.09,0.1532,0.3152,1,0,35,0,0,0,0.0,0.0,0.0
24,1.034,42.93,0.1508,0.3077,0,0,56,0,0,0,0.0,0.0,0.0
25,1.08,45.76,0.141,0.337,1,0,38,0,0,0,0.0,0.0,0.0
26,1.12,39.56,0.1505,0.3626,0,0,102,0,0,0,0.0,0.0,0.0
27,1.178,58.42,0.1518,0.3733,4,0,67,0,0,0,0.0,0.0,0.0
28,1.214,36.0,0.1573,0.3779,2,0,53,0,0,0,0.0,0.0,0.0
29,1.253,38.94,0.1586,0.3664,3,0,53,0,0,0,0.0,0.0,0.0
30,1.292,38.75,0.1602,0.3559,4,0,39,0,0,0,0.0,0.0,0.0
31,1.331,38.99,0.1592,0.3661,1,0,43,0,0,0,0.0,0.0,0.0
32,1.372,40.99,0.1591,0.3695,0,0,73,0,0,0,0.0,0.0,0.0
33,1.42,48.71,0.1534,0.3773,1,0,55,0,0,0,0.0,0.0,0.0
34,1.468,47.87,0.1595,0.4031,0,0,71,0,0,0,0.0,0.0,0.0
35,1.513,44.43,0.1659,0.4311,0,0,70,0,0,0,0.0,0.0,0.0
36,1.553,40.16,0.1744,0.4592,0,0,57,0,0,0,0.0,0.0,0.0
37,1.592,39.24,0.1795,0.4559,0,0,75,0,0,0,0.0,0.0,0.0
38,1.63,37.41,0.1659,0.4573,0,0,94,0,0,0,0.0,0.0,0.0
39,1.667,37.44,0.1838,0.4801,3,0,62,0,0,0,0.0,0.0,0.0
40,1.711,43.55,0.1986,0.5095,2,0,66,0,0,0,-0.71,-0.71,-0.25
41,1.759,48.32,0.1945,0.5223,1,0,110,0,0,0,-1.67,-1.67,-0.75
42,1.804,45.06,0.2282,0.5934,1,0,48,0,0,0,-7.01,-7.01,-2.94
43,1.844,40.34,0.2395,0.6335,1,0,58,0,0,0,-10.01,-10.01,-5.41
44,1.889,44.38,0.2642,0.6887,2,0,60,0,0,0,-14.15,-14.15,-8.47
45,1.936,47.37,0.296,0.723,1,0,68,0,0,0,-16.73,-16.73,-11.36
46,1.981,44.61,0.3074,0.76,0,0,75,0,0,0,-19.5,-19.5,-14.21
47,2.03,49.57,0.3197,0.8039,0,0,109,0,0,0,-22.79,-20,-16.24
48,2.071,41.21,0.3469,0.8573,1,0,126,0,0,0,-26.8,-20,-17.55
49,2.115,43.25,0.3549,0.8841,1,0,133,0,0,0,-28.8,-20,-18.41
50,2.153,38.04,0.3439,0.9123,2,0,160,0,0,0,-30.92,-20,-18.97
51,2.193,39.95,0.368,0.9616,2,0,201,0,0,0,-34.62,-20,-19.33
52,2.233,40.56,0.3358,0.9806,4,0,220,0,0,0,-36.05,-20,-19.56
53,2.278,44.87,0.3223,0.9919,5,0,230,0,0,0,-36.89,-20,-19.72
54,2.322,43.45,0.3129,1.0306,15,0,222,0,0,0,-39.8,-20,-19.82
55,2.363,41.38,0.302,1.0536,18,0,268,0,0,0,-41.52,-20,-19.88
56,2.413,50.18,0.2744,1.0295,16,0,242,0,0,0,-39.71,-20,-19.92
57,2.455,41.74,0.2403,0.9945,25,0,154,0,0,0,-37.09,-20,-19.95
58,2.501,45.69,0.2188,0.9547,38,0,146,0,0,0,-34.1,-20,-19.97
59,2.54,38.98,0.2036,0.8839,50,0,114,0,0,0,-28.79,-20,-19.98
60,2.588,47.97,0.2033,0.8258,65,0,104,0,0,0,-24.43,-20,-19.99
61,2.634,46.87,0.2023,0.7508,96,0,105,0,0,0,-18.81,-18.81,-19.57
62,2.673,38.94,0.1935,0.6568,136,0,125,0,0,0,-11.76,-11.76,-16.84
63,2.721,47.69,0.187,0.6615,179,0,116,0,0,0,-12.11,-12.11,-15.18
64,2.766,44.81,0.1877,0.6141,186,0,125,0,0,0,-8.55,-8.55,-12.86
65,2.819,52.69,0.2003,0.5759,252,0,182,0,0,0,-5.69,-5.69,-10.35
66,2.859,40.57,0.1978,0.5209,295,0,184,0,0,0,-1.56,-1.56,-7.28
67,2.905,46.39,0.1908,0.4704,344,0,184,0,0,0,0.0,0.0,-4.73
68,2.954,48.97,0.1863,0.4084,450,0,119,0,0,0,0.0,0.0,-3.07
69,3.001,46.78,0.1929,0.4301,521,0,170,0,0,0,0.0,0.0,-2.0
70,3.046,44.68,0.2063,0.447,581,0,200,0,0,0,0.0,0.0,-1.3
71,3.089,43.24,0.2,0.4273,696,0,170,0,0,0,0.0,0.0,-0.84
72,3.127,37.76,0.2146,0.4263,760,0,144,0,0,0,0.0,0.0,-0.55
73,3.169,42.2,0.2216,0.4372,858,1,154,0,-1,0,-16.74,-16.74,-6.22
74,3.213,43.94,0.2248,0.4472,959,1,157,0,-1,0,-17.49,-17.49,-10.16
75,3.262,48.87,0.2355,0.4666,1111,1,168,0,-1,0,-18.94,-18.94,-13.23
76,3.31,48.36,0.2455,0.4958,1294,1,133,0,-1,0,-21.13,-20,-15.6
77,3.353,42.96,0.2562,0.5022,1449,1,166,0,-1,0,-21.61,-20,-17.14
78,3.391,38.11,0.2527,0.4868,1769,1,166,0,-1,0,-20.46,-20,-18.14
79,3.448,57.07,0.2574,0.4872,2037,1,166,0,-1,0,-20.49,-20,-18.79
80,3.49,42.07,0.2525,0.4527,2703,1,123,0,-1,0,-17.91,-17.91,-18.48
81,3.529,38.92,0.2522,0.4395,3061,1,93,0,-1,0,-16.91,-16.91,-17.93
82,3.573,44.04,0.2526,0.4395,2973,1,88,0,-1,0,-16.91,-16.91,-17.57
83,3.615,41.21,0.2542,0.4291,1698,1,69,0,-1,0,-16.14,-16.14,-17.07
84,3.672,57.41,0.2504,0.4071,1293,1,46,0,-1,0,-14.48,-14.48,-16.17
85,3.711,39.26,0.2291,0.3951,689,2,60,0,-1,1,-13.58,-13.58,-15.26
86,3.758,46.75,0.257,0.4128,602,0,49,0,-1,1,-14.91,-14.91,-15.14
87,3.802,43.73,0.2689,0.4102,187,0,25,0,-1,1,-14.71,-14.71,-14.99
88,3.849,47.67,0.2697,0.394,0,0,72,0,-1,1,-13.5,-13.5,-14.47
89,3.888,38.06,0.2509,0.3952,1,0,90,0,-1,1,-13.59,-13.59,-14.16
90,3.925,37.82,0.2463,0.3757,2,0,121,0,-1,1,-12.13,-12.13,-13.45
91,3.966,40.71,0.2338,0.3846,0,0,131,0,-1,1,-12.8,-12.8,-13.22
92,4.009,43.06,0.2401,0.3966,0,0,168,0,-1,1,-13.7,-13.7,-13.39
93,4.052,42.72,0.2328,0.4035,0,0,215,0,-1,1,-14.21,-14.21,-13.68
94,4.109,57.31,0.2241,0.4083,0,0,272,0,-1,1,-14.57,-14.57,-13.99
95,4.15,41.09,0.2193,0.4204,0,0,350,0,-1,1,-15.48,-15.48,-14.51
96,4.192,41.55,0.2106,0.4313,0,0,441,0,-1,1,-16.3,-16.3,-15.14
97,4.244,52.19,0.1966,0.4295,0,0,519,0,-1,1,-16.16,-16.16,-15.49
98,4.299,55.19,0.2141,0.456,0,0,645,0,-1,1,-18.15,-18.15,-16.42
99,4.333,34.13,0.2171,0.4702,0,0,766,0,-1,1,-19.22,-19.22,-17.4
100,4.372,38.71,0.2073,0.4673,1,0,868,0,-1,1,-19.0,-19.0,-17.96
101,4.42,47.77,0.1999,0.4815,0,0,1066,1,-1,1,-20.06,-20,-18.68
102,4.46,40.64,0.1847,0.4843,0,0,1207,1,-1,1,-20.27,-20,-19.14
103,4.499,38.24,0.1741,0.4785,0,0,1533,1,-1,1,-19.84,-19.84,-19.38
104,4.54,40.91,0.154,0.4687,2,0,1916,1,-1,1,-19.1,-19.1,-19.28
105,4.589,49.17,0.1492,0.4642,2,0,2182,1,-1,1,-18.77,-18.77,-19.1
106,4.635,46.65,0.1513,0.4502,7,0,2621,1,-1,1,-17.71,-17.71,-18.62
107,4.677,41.18,0.1498,0.4764,2,0,3146,1,-1,1,-19.68,-19.68,-18.99
108,4.719,42.11,0.1666,0.4952,0,0,3718,1,-1,1,-21.09,-20,-19.34
109,4.763,44.45,0.1645,0.5052,0,0,3489,1,-1,1,-21.84,-20,-19.57
110,4.829,65.56,0.1567,0.51,1,0,1548,1,-1,1,-22.2,-20,-19.72
111,4.864,35.36,0.1302,0.4866,3,0,503,2,-1,1,-20.44,-20,-19.82
112,4.913,49.17,0.1445,0.4854,3,0,323,0,-1,1,-20.35,-20,-19.88
113,4.958,44.41,0.1302,0.4505,3,0,108,0,-1,1,-17.74,-17.74,-19.13
114,5.001,43.27,0.1379,0.4397,1,0,92,0,-1,1,-16.93,-16.93,-18.36
115,5.06,58.81,0.133,0.3864,1,0,82,0,-1,1,-12.93,-12.93,-16.46
116,5.097,37.14,0.1599,0.3377,4,0,89,0,-1,1,-9.28,-9.28,-13.95
117,5.138,41.57,0.1541,0.281,0,0,167,0,-1,1,-5.03,-5.03,-10.82
118,5.179,40.28,0.1734,0.2441,7,0,281,0,-1,1,-2.26,-2.26,-7.83
119,5.229,50.06,0.1671,0.2243,15,0,395,0,-1,1,-0.77,-0.77,-5.36
120,5.287,58.0,0.1777,0.2127,5,0,205,0,-1,1,0.1,0.1,-3.45
121,5.328,41.54,0.1943,0.2002,6,0,151,0,-1,1,1.03,1.03,-1.88
122,5.37,41.8,0.191,0.1895,8,0,136,0,-1,1,1.84,1.84,-0.58
123,5.414,43.77,0.1977,0.1996,10,0,109,0,-1,1,1.08,1.08,0.0
124,5.464,50.29,0.2274,0.2059,2,0,120,0,-1,1,0.6,0.6,0.21
125,5.514,49.94,0.2276,0.1818,7,0,201,0,-1,1,2.42,2.42,0.98
126,5.555,41.01,0.2242,0.1622,2,0,246,0,-1,1,3.89,3.89,2.0
127,5.603,48.22,0.2226,0.1597,9,0,293,0,-1,1,4.07,4.07,2.73
128,5.644,40.7,0.2251,0.158,11,0,277,0,-1,1,4.2,4.2,3.24
129,5.684,40.32,0.2463,0.1666,10,0,201,0,-1,1,3.55,3.55,3.35
130,5.729,44.88,0.2639,0.1697,15,0,70,0,-1,1,3.32,3.32,3.34
131,5.784,54.94,0.2584,0.178,9,0,99,0,-1,1,2.7,2.7,3.12
132,5.822,38.19,0.2449,0.1679,14,0,80,0,-1,1,3.46,3.46,3.24
133,5.866,43.67,0.2474,0.181,11,0,85,0,-1,1,2.47,2.47,2.97
134,5.91,44.4,0.2295,0.21,7,0,70,0,-1,1,0.3,0.3,2.04
135,5.954,43.16,0.2155,0.2288,17,0,65,0,-1,1,-1.11,-1.11,0.94
136,6.0,46.31,0.2077,0.2346,21,0,86,0,-1,1,-1.55,-1.55,0.07
137,6.046,46.16,0.199,0.2491,13,0,90,0,-1,1,-2.63,-2.63,-0.88
138,6.087,41.22,0.2154,0.2544,9,0,100,0,-1,1,-3.03,-3.03,-1.63
139,6.143,55.59,0.1988,0.2452,9,0,88,0,-1,1,-2.34,-2.34,-1.88
140,6.183,40.25,0.2012,0.2574,2,0,54,0,-1,1,-3.26,-3.26,-2.36
141,6.228,45.34,0.2102,0.2464,4,0,113,0,-1,1,-2.43,-2.43,-2.38
142,6.282,53.15,0.1878,0.2229,7,0,92,0,-1,1,-0.67,-0.67,-1.78
143,6.32,38.22,0.1963,0.2356,4,0,103,0,-1,1,-1.62,-1.62,-1.73
144,6.364,44.01,0.1941,0.2378,10,0,50,0,-1,1,-1.79,-1.79,-1.75
145,6.409,45.57,0.1913,0.2326,13,0,51,0,-1,1,-1.39,-1.39,-1.62
146,6.457,47.85,0.2033,0.2256,6,0,87,0,-1,1,-0.87,-0.87,-1.36
147,6.5,42.69,0.1984,0.2269,15,0,63,0,-1,1,-0.97,-0.97,-1.22
148,6.547,47.59,0.1964,0.2343,13,0,55,0,-1,1,-1.52,-1.52,-1.33
149,6.589,41.08,0.186,0.2352,22,0,45,0,-1,1,-1.59,-1.59,-1.42
150,6.63,41.54,0.189,0.2334,9,0,71,0,-1,1,-1.46,-1.46,-1.43
151,6.672,41.61,0.1789,0.2449,2,0,77,0,-1,1,-2.32,-2.32,-1.74
152,6.717,45.35,0.1763,0.2652,20,0,55,0,-1,1,-3.84,-3.84,-2.48
153,6.765,47.9,0.162,0.2759,15,0,63,0,-1,1,-4.64,-4.64,-3.23
154,6.809,43.87,0.1701,0.262,6,0,73,0,-1,1,-3.6,-3.6,-3.36
155,6.862,52.76,0.1864,0.2322,2,0,74,0,-1,1,-1.36,-1.36,-2.66
156,6.899,37.22,0.1934,0.2309,11,0,52,0,-1,1,-1.27,-1.27,-2.18
157,6.939,40.37,0.2055,0.2367,15,0,79,0,-1,1,-1.7,-1.7,-2.01
158,6.993,53.49,0.1992,0.2284,3,0,87,0,-1,1,-1.08,-1.08,-1.68
159,7.038,45.41,0.2002,0.2276,7,0,58,0,-1,1,-1.02,-1.02,-1.45
160,7.084,46.28,0.1835,0.2323,9,0,69,0,-1,1,-1.37,-1.37,-1.42
161,7.139,54.22,0.1815,0.2541,15,0,98,0,-1,1,-3.01,-3.01,-1.98
162,7.176,37.44,0.1834,0.2648,14,0,99,0,-1,1,-3.81,-3.81,-2.62
163,7.225,48.65,0.1791,0.2741,20,0,96,0,-1,1,-4.51,-4.51,-3.28
164,7.271,46.6,0.1713,0.2819,17,0,72,0,-1,1,-5.09,-5.09,-3.91
165,7.323,52.0,0.1809,0.2955,32,0,47,0,-1,1,-6.11,-6.11,-4.68
166,7.363,40.16,0.1788,0.2888,20,0,29,0,-1,1,-5.61,-5.61,-5.01
167,7.404,40.85,0.1766,0.2837,14,0,38,0,-1,1,-5.23,-5.23,-5.08
168,7.456,51.28,0.1777,0.2808,30,0,44,0,-1,1,-5.01,-5.01,-5.06
169,7.504,47.96,0.1774,0.2787,25,0,35,0,-1,1,-4.85,-4.85,-4.99
170,7.548,44.43,0.1838,0.262,19,0,57,0,-1,1,-3.6,-3.6,-4.5
171,7.596,48.12,0.1826,0.2556,12,0,57,0,-1,1,-3.12,-3.12,-4.02
172,7.642,46.1,0.1833,0.2527,12,0,42,0,-1,1,-2.91,-2.91,-3.63
173,7.684,41.68,0.1674,0.2638,22,0,44,0,-1,1,-3.74,-3.74,-3.67
174,7.733,49.08,0.1705,0.2717,10,0,40,0,-1,1,-4.33,-4.33,-3.9
175,7.775,42.42,0.1787,0.292,14,0,49,0,-1,1,-5.85,-5.85,-4.58
176,7.828,52.73,0.1648,0.2745,12,0,44,0,-1,1,-4.53,-4.53,-4.56
177,7.866,37.85,0.1605,0.2738,17,0,31,0,-1,1,-4.49,-4.49,-4.54
178,7.904,38.16,0.1629,0.2584,24,0,35,0,-1,1,-3.33,-3.33,-4.11
179,7.956,52.19,0.1745,0.2699,33,0,44,0,-1,1,-4.19,-4.19,-4.14
