cycle,t_s,dt_ms,left_wall,right_wall,blue_px,blue_state,orange_px,orange_state,direction,quadrant,dir_raw,dir_clamped,dir_servo
1,0.018,0.0,0.1546,0.7617,21,0,158,0,0,0,-19.63,-19.63,-6.87
2,0.057,39.41,0.1569,0.7689,19,0,104,0,0,0,-20.17,-20,-11.47
3,0.1,43.42,0.1519,0.7578,21,0,120,0,0,0,-19.34,-19.34,-14.22
4,0.145,44.71,0.1496,0.7714,17,0,132,0,0,0,-20.36,-20,-16.24
5,0.192,46.97,0.1495,0.7684,9,0,101,0,0,0,-20.13,-20,-17.56
6,0.241,49.05,0.1468,0.7676,23,0,110,0,0,0,-20.07,-20,-18.41
7,0.283,42.04,0.1567,0.7453,29,0,112,0,0,0,-18.4,-18.4,-18.41
8,0.328,45.04,0.167,0.7045,28,0,107,0,0,0,-15.34,-15.34,-17.33
9,0.382,53.9,0.1645,0.635,37,0,165,0,0,0,-10.12,-10.12,-14.81
10,0.431,49.19,0.1727,0.588,21,0,138,0,0,0,-6.6,-6.6,-11.94
11,0.485,54.15,0.1734,0.5102,30,0,130,0,0,0,-0.76,-0.76,-8.03
12,0.526,40.81,0.1747,0.4516,16,0,126,0,0,0,0.0,0.0,-5.22
13,0.574,48.03,0.1803,0.3882,29,0,125,0,0,0,0.0,0.0,-3.39
14,0.626,51.3,0.1827,0.3473,23,0,112,0,0,0,0.0,0.0,-2.2
15,0.667,41.0,0.1825,0.3095,15,0,90,0,0,0,0.0,0.0,-1.43
16,0.708,41.71,0.1889,0.2841,12,0,82,0,0,0,0.0,0.0,-0.93
17,0.754,45.55,0.1902,0.2857,38,0,66,0,0,0,0.0,0.0,-0.61
18,0.795,41.69,0.1893,0.271,24,0,101,0,0,0,0.0,0.0,-0.39
19,0.863,67.12,0.1954,0.2666,20,0,99,0,0,0,0.0,0.0,-0.26
20,0.902,39.67,0.1944,0.2654,28,0,59,0,0,0,0.0,0.0,-0.17
21,0.961,58.96,0.1931,0.2574,24,0,59,0,0,0,0.0,0.0,-0.11
22,1.008,46.76,0.1966,0.26,22,0,55,0,0,0,0.0,0.0,-0.07
23,1.058,50.35,0.1897,0.2468,30,0,75,0,0,0,0.0,0.0,-0.05
24,1.102,43.27,0.1952,0.2475,18,0,60,0,0,0,0.0,0.0,-0.03
25,1.146,44.25,0.1939,0.2452,13,0,46,0,0,0,0.0,0.0,-0.02
26,1.188,42.23,0.1875,0.248,16,0,63,0,0,0,0.0,0.0,-0.01
27,1.236,47.65,0.1907,0.2477,26,0,80,0,0,0,0.0,0.0,-0.01
28,1.285,49.08,0.1836,0.2497,14,0,69,0,0,0,0.0,0.0,-0.01
29,1.33,44.8,0.1827,0.2525,12,0,84,0,0,0,0.0,0.0,-0.0
30,1.371,41.39,0.1745,0.2519,8,0,58,0,0,0,0.0,0.0,-0.0
